Предназночение;Бренд;Название продукта;Ценовой сегмент;Возрастная категория;Ингредиенты;Тип состава;Комбинированная;Сухая кожа;Нормальная;Жирная;Чувствительная;Проблемная кожа;Универсальность;Оценка;Категория эффективности;Кластер;split
Увлажнение;FIRST AID BEAUTY;Ultra Repair® Cream Intense Hydration;Средний;30+;Вода, стеариновая кислота, глицерин, C12-15 алкилбензоат, каприловый/каприновый триглицерид, глицерилстеарат Se, глицерилстеарат, цетеариловый спирт, масло Butyrospermum Parkii, диметикон, сквалан, аллантоин, экстракт листьев камелии китайской, каприлилгликоль, церамид 3, хризантема. Экстракт партения, коллоидная овсянка, динатрий ЭДТА, масло листьев эвкалипта шаровидного, экстракт корня солодки голой, гидроксид натрия, ксантановая камедь, феноксиэтанол.;Смешанный;1;1;1;1;1;1;1;4,6;Высокая;Группа3;train
Увлажнение;CLINIQUE;Moisture Surge 72-Hour Auto-Replenishing Hydrator;Средний;18+;Вода , диметикон , бутиленгликоль , глицерин , трисилоксан , трегалоза , сахароза , акрилоилдиметилтаурат аммония / сополимер Vp , гидроксиэтилмочевина , экстракт листьев Camellia Sinensis (зеленый чай) , экстракт Silybum Marianum (чертополоха) , экстракт коры Betula Alba (березы), Сахаромицеты Экстракт лизата, вода листьев алоэ барбаденсиса, фермент Thermus Thermophillus, кофеин, сорбитол, пальмитоил гексапептид-12, гиалуронат натрия, каприлилгликоль, олет-10, полиаспартат натрия, изомерат сахарида, гидрогенизированный лецитин, токоферилацетат, Акрилаты/C10-30 Алкилакрилат Кроссполимер, глицерил полиметакрилат, трометамин, ПЭГ-8, гексиленгликоль, аскорбилфосфат магния, динатрий Эдта, Bht, феноксиэтанол, красный 4 (Ci 14700), желтый 5 (Ci 19140);Смешанный;1;1;1;1;1;1;1;4,4;Высокая;Группа3;test
Увлажнение;SK-II;R.N.A. POWER Face Cream;Высокий;18+;Вода, глицерин, фильтрат фермента галактомицетов*, изогексадекан, ниацинамид, изопропилизостеарат, бутиленгликоль, масло Butyrospermum Parkii (ши), каприловый/каприновый триглицерид, пентиленгликоль, диметикон, фитостерил/бегенил/октилдодециллауроилглутамат, винил Кроссполимер диметикона/метикона силсесквиоксана, стеариловый спирт, сополимер акрилата натрия/акрилоилдиметилтаурата натрия, цетиловый спирт, бегениловый спирт, пантенол, токоферилацетат, бензиловый спирт, диметиконол, цетеариловый спирт, цетеарил глюкозид, метилпарабен, стеарат ПЭГ-100, Полиметилсилсесквиоксан, полисорбат 80, стеариновая кислота, динатрий Эдта, пропилпарабен, карбоксилат оливкового масла Peg-7 натрия, этилпарабен, олеат сорбитана, экстракт хлореллы обыкновенной, стеарат Peg-100, глицерилкокоат Peg-7, гидроксид натрия, ароматизатор, Acanthopanax Senticosus (Элеутеро) экстракт корня, гидролизованный соевый белок, экстракт листьев Cynara Scolymus (артишок), поликватерниум-7, гидролизованный дрожжевой белок, пальмитоил пентапептид-4, метилсиланол три-пег-8 глицерил кокоат, метикон, Ci 77891, Ci 77492. *Pitera™.;Смешанный;0;1;1;0;1;0;0,5;4,3;Средняя;Группа1;test
Увлажнение;LA MER;Creme de la Mer Mini;Высокий;18+;Экстракт водорослей (водорослей), минеральное масло, вазелин, глицерин, изогексадекан, микрокристаллический воск, ланолиновый спирт, экстракт Citrus Aurantifolia (лайм), масло семян Sesamum Indicum (кунжут), масло листьев эвкалипта шаровидного (эвкалипта), порошок семян Sesamum Indicum (кунжут), Medicago Sativa (Люцерна) Порошок семян, жмых Helianthus Annuus (подсолнечник), мука из семян Prunus Amygdalus Dulcis (сладкий миндаль), глюконат натрия, глюконат меди, глюконат кальция, глюконат магния, глюконат цинка, сульфат магния, парафин, токоферилсукцинат, ниацин, вода, бета-каротин, децил Олеат, дистеарат алюминия, октилдодеканол, лимонная кислота, цианокобаламин, стеарат магния, пантенол, лимонен, гераниол, линалоол, гидроксицитронеллаль, цитронеллол, бензилсалицилат, цитраль, бензоат натрия, денат. спирта, ароматизатор.;Натуральный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;test
Увлажнение;BAREMINERALS;COMPLEXION RESCUE™ Tinted Moisturizer Broad Spectrum SPF 30;Высокий;18+;Вода, кокосовые алканы, пропандиол, сквалан, трегалоза, изостеариновая кислота, глицерин, диоксид кремния, агар, каприловый/каприновый триглицерид, экстракт культуры Globularia Cordifolia каллуса (Callus), экстракт Salicornia Herbacea, экстракт Melilotus Officinalis, кокос-каприлат/капрат, бутиленгликоль, лауроиллизин, натрий. Гиалуронат, сукциногликан, полисорбат 60, целлюлозная камедь, полиглицерил-4 лаурат/сукцинат, сорбитан сесквиизостеарат, стеарат магния, гидроксид магния, хлорид магния, хлорид калия, хлорид кальция, сорбат калия, феноксиэтанол. Может содержать: диоксид титана, оксиды железа.;Смешанный;0;0;0;0;0;0;0;3,9;Низкая;Группа2;train
Увлажнение;SHISEIDO;Bio-Performance Advanced Super Revitalizing Cream;Высокий;25+;Вода, глицерин, циклометикон, бутиленгликоль, диметикон, цетилоктаноат, сквалан, диметиконсополиол, дистеардимоний гекторит, гидрированные олефиновые полимеры C6-14, ПЭГ-150, масло мортьереллы, фитостерил макадамиат, токоферилацетат, стеарилглицирретинат, аргинин. HCl, ПЭГ-60 гидрогенизированное касторовое масло, глутамат натрия, динатрий-аденозинтрифосфат, экстракт лизата Saccharomyces, ацетилированный гиалуронат натрия, экстракт розы Роксбурги, октилметоксициннамат, агар, гексаметафосфат натрия, тринатрий ЭДТА, токоферол, BHT, этилпарабен, Бутилпарабен, Метилпарабен, ароматизаторы, оксиды железа.;Смешанный;0;0;0;0;0;0;0;4,6;Низкая;Группа2;train
Увлажнение;BELIF;The True Cream Moisturizing Bomb;Средний;18+;Вода, глицерин, циклогексасилоксан, гидрогенизированный полидецен, дипропиленгликоль, масло семян макадамии тернифолиевой, 1,2-гександиол, бис-ПЭГ-18, метиловый эфир диметилсилан, триэтилгексаноин, стеариловый спирт, глицерилстеарат, пентаэритритилтетраэтилгексаноат, ПЭГ-40. Стеарат, ферментный экстракт Saccharomyces/Viscum album (омела), ферментный экстракт Lactobacillus/соевых бобов, ферментный экстракт корня Saccharomyces/Imperata Cylindrica, цетеариловый спирт, цетеаиловый оливат, сорбитановый оливат, гидрогенизированный лецитин, стеарат сорбитана, стеариновая кислота, стеарат ПЭГ-100, диметикон, Диметикон/винилдиметиконовый кроссполимер, экстракт плодов Poncirus Trifoliata, пантенол, *экстракт ядра Avena Sativa (овса), *экстракт цветков календулы лекарственной, *экстракт Nepeta Cataria, *экстракт листьев Rubus Idaeus (малина), *экстракт корня Baptisia Tinctoria, *экстракт звездчатки медианной (песчанки), **Экстракт листьев Alchemilla Vulgaris, **Экстракт фиалки трехцветной, **Экстракт цветков Rosa Damascena, **Экстракт цветов спиреи ульмарии, **Экстракт корня алтеи лекарственной, Экстракт листьев Symphytum Officinale, Экстракт цветков Trifolium Pratense (клевера), Экстракт цветков Achillea Millefolium, Экстракт Euphrasia Officinalis, Туя западная Экстракт листьев, экстракт листьев Menyanthes Trifoliata, экстракт коры Salix Alba (ивы), экстракт Chelidonium Majus, мочевина, гидроксиэтилпиперазин, этансульфоновая кислота, гликозилтрегалоза, гидрогенизированный гидролизат крахмала, акрилаты/C10-30 алкилакрилатный кроссполимер, карбомер, ксантановая камедь, Тринатрий ЭДТА, трометамин, ароматизаторы, цитронеллол, лимонен. *Оригинальная формула Napiers. ** Формула увлажнения Napiers. ***Ароматы природного происхождения.;Смешанный;0;1;1;0;0;0;0,33;4,6;Средняя;Группа2;test
Увлажнение;CLINIQUE;Dramatically Different Moisturizing Lotion+;Средний;18+;Вода, минеральное масло/жидкий парафин/Huile Minerale, глицерин, вазелин, стеариновая кислота, глицерилстеарат, кунжутное масло, мочевина, ланолиновый спирт, триэтаноламин, экстракт Hordeum Vulgare (ячменя)/Extrait D'Orge, экстракт плодов Cucumis Sativus (огурца). , Гелиантус Аннуус (Подсолнечник) Жмых, дикапрат пропиленгликоля, гиалуронат натрия, бутиленгликоль, пентиленгликоль, тринатрий-Эдта, феноксиэтанол, желтый 6 (Ci 15985), желтый 5 (Ci 19140), красный 33 (Ci 17200);Смешанный;1;1;0;0;0;0;0,33;3,9;Низкая;Группа2;test
Увлажнение;SK-II;GenOptics Aura Essence Serum;Высокий;18+;Вода, фильтрат фермента галактомицетов (питера), ниацинамид, бутиленгликоль, триэтилгексаноин, пентиленгликоль, глицерин, нейлон-12, фитостерил/октилдодециллауроилглутамат, полиметилсилсесквиоксан, нитрид бора, пантенол, кокоат сорбитана ПЭГ-20, Инозитол, каприловый/каприновый триглицерид, слюда, феноксиэтанол, акрилаты/C10-30 алкилакрилатный кроссполимер, ПЭГ-11 метиловый эфир диметикон, полиакриламид, аминометилпропанол, ундецилоноил фенилаланин, бензиловый спирт, изопарафин C13-14, динатрий ЭДТА, гидролизованный чернослив Domestica, ксантановая камедь, бензоат натрия, гексилдеканол, лаурет-7, экстракт кожуры Citrus Reticulata/экстракт кожуры Citrus Reticulata (мандарин), метилпарабен, аскорбил глюкозид, экстракт плодов Prunus Mume, токоферол, ароматизатор, лимонен, цитронеллол, линалоол, гераниол, Ci 77891 (диоксид титана).;Смешанный;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;train
Увлажнение;TATCHA;Pure One Step Camellia Cleansing Oil;Высокий;18+;Цетилэтилгексаноат, масло отрубей Oryza Sativa (рис), полиглицерил-10-диолеат, полиглицерил-2 сесквикаприлат, масло семян камелии японской, экстракт листьев камелии китайской (зеленый чай), экстракт водорослей, вода, глицерил бегенат/эйкозадиоат, глицерин, этилгексилглицерин, Ароматизатор (натуральный), спирт, феноксиэтанол.;Смешанный;1;1;1;1;1;1;1;4,5;Высокая;Группа3;train
Увлажнение;IT COSMETICS;Your Skin But Better CC+ Cream Oil-Free Matte with SPF 40;Низкий;18+;Вода, диметикон, дикаприлат/дикапрат бутиленгликоля, бутиленгликоль, диоксид титана [нано], диоксид титана, оксид цинка, циклопентасилоксан, кроссполимер диметикона/винилдиметикона, бутилоктилсалицилат, цетилпег/Ppg-10/1 диметикон, улитка. Фильтрат секрета, хлорид натрия, бис-диглицерил полиациладипат-2, гидроксид алюминия, стеариновая кислота, гекторит дистеардимония, изостеарат сорбитана, изостеарат полиглицерил-4, гексиллаурат, триэтоксикаприлилсилан, триэтилцитрат, этилгександиол, бензоат натрия, Сорбат калия, полиметилсилсесквиоксан, токоферилацетат, феноксиэтанол, динатрий Эдта, канадская коллоидная глина, марокканская лавовая глина, экстракт ядра Avena Sativa, экстракт ядра овса, глицерин, ниацинамид, экстракт корня куркумы длинной, экстракт корня куркумы, сера, холестерин, Цветочная вода Anthemis Nobilis, перфторгексан, экстракт плодов Persea Gratissima, экстракт плодов авокадо, мальтодекстрин, 1,2-гександиол, экстракт семян Vitis Vinifera, экстракт виноградных косточек, экстракт листьев камелии китайской, экстракт коры Salix Alba, экстракт коры ивы, экстракт коры магнолии кобус, экстракт цветков хризантемы индийской, Пентаэритриттетра-ди-Т-бутилгидроксигидроциннамат, глицин, экстракт ростков сои, экстракт соевых бобов, перфтордекалин, экстракт серики, экстракт шелка, гидролизованный шелк, экстракт листьев алоэ барбаденсис, перфторметилциклопентан, лимонная кислота, листья Olea Europaea (оливкового масла). Экстракт, экстракт листьев Artemisia Princeps, экстракт коры Cinnamomum Cassia, экстракт корня Pueraria Lobata, экстракт листьев Diospyros Kaki, экстракт плодов Morus Alba, Steareth-20, экстракт цветов/листьев/стеблей Melaleuca Alternifolia - экстракт цветов/листьев/стеблей чайного дерева, фруктовый сок Punica Granatum, гидролизованный коллаген, Этилгексилглицерин, порошок древесного угля, лактобактерии/цветки жимолости/корень солодки/корень моруса белой/корень пуэрарии лопастной/плоды лимонника китайского/корень шлемника байкальского/экстракт цветков софоры японской, фильтрат фермента, хлоргексидина биглюконат, N-гидроксисукцинимид, пальмитоил Трипептид-1, гидролизованная гиалуроновая кислота, хризин, пальмитоилтетрапептид-7, [+/- может содержать: Ci 77491, Ci 77492, Ci 77499, оксиды железа, Ci 77891, диоксид титана].;Смешанный;1;1;1;1;0;1;0,83;3,9;Средняя;Группа1;test
Увлажнение;LANEIGE;Water Sleeping Mask;Средний;18+;Вода, бутиленгликоль, циклопентасилоксан, глицерин, циклогексасилоксан, трегалоза, гиалуронат натрия, экстракт корня Oenothera biennis (вечерней примулы), экстракт плодов Prunus Armyca (абрикос), бета-глюкан, экстракт семян Chenopodium Quinoa, аскорбил глюкозид, сульфат магния, цинк Сульфат, сульфат марганца, хлорид кальция, альгинат калия, акрилоилдиметилтаурат аммония, сополимер VP, полисорбат 20, диметикон, диметиконол, диметикон, кроссполимер винилдиметикона, пропандиол, этилгексилглицерин, стеарилбегенат, полиглицерил-3-метилглюкоза Дистеарат, гидроксипропилбиспальмитамид МЭА, лаурилкарбамат инулина, спирт, 1,2-гександиол, каприлилгликоль, карбомер, трометамин, динатрий ЭДТА, феноксиэтанол, ароматизатор, синий 1 (Ci 42090).;Смешанный;1;1;1;1;1;0;0,83;4,4;Высокая;Группа3;train
Увлажнение;LANEIGE;Water Bank Moisture Cream;Средний;18+;Вода, глицерин, бутиленгликоль, сквалан, диметикон, пентаэритритилтетраэтилгексаноат, метиловый эфир BIS-PEG-18, диметилсилан, дикаприлиловый эфир, циклопентасилоксан, полистеарат сахарозы, циклогексасилоксан, глицерилстеарат, мочевина, экстракт семян Chenopodium Quinoa, Экстракт Salicornia Herbacea, сульфат магния, сульфат марганца, хлорид кальция, сульфат цинка, гиалуронат натрия, масло семян лимнантеса белого (пенника лугового), трипептид меди-1, церамид 3, фитосфингозин, ниацинамид, миристилмиристат, глицерилундециленат, ацетил глюкозамин, Цетеариловый спирт, цетилэтилгексаноат, токоферол, пропандиол, стеариновая кислота, аскорбил глюкозид, гидрогенизированный лецитин, ксантановая камедь, трисилоксан, пальмитиновая кислота, цетилфосфат калия, полиглицерил-10 стеарат, полиакрилат-13, полиизобутен, пропиленгликоль, ПЭГ-100. стеарат, Акрилаты, C10-30-алкилакрилатный кроссполимер, ПЭГ-5 рапсовый стерол, гидроксиэтилакрилат, сополимер акрилоилдиметилтаурата натрия, гидрогенизированный полиизобутен, полисорбат 20, трометамин, динатрий ЭДТА, глицерилкаприлат, этилгексилглицерин, ароматизатор.;Смешанный;0;1;1;0;1;0;0,5;4,4;Средняя;Группа3;train
Увлажнение;SK-II;Facial Treatment Essence Mini;Высокий;18+;Фильтрат фермента Galactomyces (Питера), бутиленгликоль, пентиленгликоль, вода, бензоат натрия, метилпарабен, сорбиновая кислота.;Химический;1;1;1;1;1;0;0,83;4,1;Средняя;Группа1;train
Увлажнение;TATCHA;Luminous Dewy Skin Mist;Высокий;18+;Вода, глицерин, сквалан (оливкового происхождения), циклопентасилоксан, пропандиол, триэтилгексаноин, масло семян камелии японской, инозитол (экстракт риса), экстракт водорослей, серицин (экстракт шелка), экстракт корня солодки (солодки), масло зародышей Oryza Sativa (рис), камелия китайская (зеленая) Чай) Экстракт листьев, Экстракт Chondrus Crispus (красных водорослей), Экстракт корня женьшеня Panax, Экстракт маточного молочка, Экстракт плодов Zizyphus Jujuba, Экстракт тимьяна серпиллюм (тимьяна), Экстракт корня шлемника байкальского, Полиглицерил-2 диизостеарат, Фосфат Ppg-5-Ceteth-10, Тридецет-12, Лауроиллактилат натрия, стеарат сорбитана, этилгексилглицерин, бегениловый спирт, глицерилстеарат Se, ароматизатор, гиалуронат натрия, спирт, феноксиэтанол.;Смешанный;1;1;1;0;1;0;0,67;4;Средняя;Группа1;train
